# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Gilmore et al. 2012 (Evolving dust model, arXiv:1104.0671)
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	5.206874e-15	5.300430e-15
6.04	1.229162e-14	1.253167e-14
6.08	2.604139e-14	2.659328e-14
6.12	5.104375e-14	5.221726e-14
6.16	9.507297e-14	9.743460e-14
6.20	1.736134e-13	1.781944e-13
6.24	3.223979e-13	3.311084e-13
6.28	6.204629e-13	6.370032e-13
6.32	1.212123e-12	1.243604e-12
6.36	2.329521e-12	2.389064e-12
6.40	4.325322e-12	4.436217e-12
6.44	7.731895e-12	7.934461e-12
6.48	1.333371e-11	1.369607e-11
6.52	2.224302e-11	2.287618e-11
6.56	3.597069e-11	3.704640e-11
6.60	5.648604e-11	5.825417e-11
6.64	8.631617e-11	8.912246e-11
6.68	1.286855e-10	1.329937e-10
6.72	1.876795e-10	1.941012e-10
6.76	2.686420e-10	2.779733e-10
6.80	3.798266e-10	3.931126e-10
6.84	5.358851e-10	5.545507e-10
6.88	7.638211e-10	7.899352e-10
6.92	1.106690e-09	1.143373e-09
6.96	1.626460e-09	1.678482e-09
7.00	2.407271e-09	2.481950e-09
7.04	3.561566e-09	3.670159e-09
7.08	5.237133e-09	5.396893e-09
7.12	7.617989e-09	7.854599e-09
7.16	1.091576e-08	1.126531e-08
7.20	1.534880e-08	1.585797e-08
7.24	2.112646e-08	2.185092e-08
7.28	2.844758e-08	2.944964e-08
7.32	3.750880e-08	3.885492e-08
7.36	4.851628e-08	5.027430e-08
7.40	6.170825e-08	6.394448e-08
7.44	7.739139e-08	8.016881e-08
7.48	9.598453e-08	9.936291e-08
7.52	1.180417e-07	1.220791e-07
7.56	1.442585e-07	1.490144e-07
7.60	1.754853e-07	1.810246e-07
7.64	2.127755e-07	2.191754e-07
7.68	2.574361e-07	2.647983e-07
7.72	3.110156e-07	3.194829e-07
7.76	3.752327e-07	3.850023e-07
7.80	4.518725e-07	4.631979e-07
7.84	5.427065e-07	5.558896e-07
7.88	6.494432e-07	6.648226e-07
7.92	7.737037e-07	7.916408e-07
7.96	9.169363e-07	9.377923e-07
8.00	1.080302e-06	1.104399e-06
8.04	1.264696e-06	1.292276e-06
8.08	1.470762e-06	1.501949e-06
8.12	1.698675e-06	1.733432e-06
8.16	1.947873e-06	1.985938e-06
8.20	2.217012e-06	2.257831e-06
8.24	2.504136e-06	2.546812e-06
8.28	2.806774e-06	2.850041e-06
8.32	3.121980e-06	3.164210e-06
8.36	3.446202e-06	3.485394e-06
8.40	3.775133e-06	3.808894e-06
8.44	4.103904e-06	4.129438e-06
8.48	4.427391e-06	4.441535e-06
8.52	4.740611e-06	4.739924e-06
8.56	5.039293e-06	5.020155e-06
8.60	5.320303e-06	5.279030e-06
8.64	5.581746e-06	5.514776e-06
8.68	5.823073e-06	5.727148e-06
8.72	6.045031e-06	5.917363e-06
8.76	6.249876e-06	6.088309e-06
8.80	6.441210e-06	6.244355e-06
8.84	6.623462e-06	6.390799e-06
8.88	6.802078e-06	6.534078e-06
8.92	6.984196e-06	6.682441e-06
8.96	7.177987e-06	6.845210e-06
9.00	7.391140e-06	7.031127e-06
9.04	7.629714e-06	7.247030e-06
9.08	7.897416e-06	7.497013e-06
9.12	8.196743e-06	7.783572e-06
9.16	8.531943e-06	8.110809e-06
9.20	8.909856e-06	8.485411e-06
9.24	9.337849e-06	8.914407e-06
9.28	9.823638e-06	9.404860e-06
9.32	1.037675e-05	9.965529e-06
9.36	1.100936e-05	1.060799e-05
